,Name,SMILES
39,1ed_7b_2ea,c1(ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ncc(C(=O)O)cc1
40,1ed_7b_3ea,c1(ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ncc(C(=O)O)nc1
41,1ed_8b_1ea,c1(ccc(cc1)N(c1ccccc1)c1ccccc1)c1sc(c2cc(C(=O)OC)sc12)c1ccc(C=C(C#N)C(=O)O)cc1
42,1ed_8b_2ea,c1(ccc(cc1)N(c1ccccc1)c1ccccc1)c1sc(c2cc(C(=O)OC)sc12)c1ncc(C(=O)O)cc1
43,1ed_8b_3ea,c1(ccc(cc1)N(c1ccccc1)c1ccccc1)c1sc(c2cc(C(=O)OC)sc12)c1ncc(C(=O)O)nc1
44,1ed_9b_1ea,c1(ccc(cc1)N(c1ccccc1)c1ccccc1)c1c2c(cccc2)c(s1)c1ccc(C=C(C#N)C(=O)O)cc1
45,1ed_9b_2ea,c1(ccc(cc1)N(c1ccccc1)c1ccccc1)c1c2c(cccc2)c(s1)c1ncc(C(=O)O)cc1
46,1ed_9b_3ea,c1(ccc(cc1)N(c1ccccc1)c1ccccc1)c1c2c(cccc2)c(s1)c1ncc(C(=O)O)nc1
47,2ed_10b_1ea,N(c1ccccc1)(c1ccccc1)c1sc2c(n(CC)c3c2sc(c3)c2ccc(C=C(C#N)C(=O)O)cc2)c1
48,2ed_10b_2ea,N(c1ccccc1)(c1ccccc1)c1sc2c(n(CC)c3c2sc(c3)c2ncc(C(=O)O)cc2)c1
49,2ed_10b_3ea,N(c1ccccc1)(c1ccccc1)c1sc2c(n(CC)c3c2sc(c3)c2ncc(C(=O)O)nc2)c1
50,2ed_11b_1ea,N(c1ccccc1)(c1ccccc1)c1c2OCCOc2c(s1)c1ccc(C=C(C#N)C(=O)O)cc1
51,2ed_11b_2ea,N(c1ccccc1)(c1ccccc1)c1c2OCCOc2c(s1)c1ncc(C(=O)O)cc1
52,2ed_11b_3ea,N(c1ccccc1)(c1ccccc1)c1c2OCCOc2c(s1)c1ncc(C(=O)O)nc1
53,2ed_12b_1ea,N(c1ccccc1)(c1ccccc1)c1ccc(n1CC)c1ccc(C=C(C#N)C(=O)O)cc1
54,2ed_12b_2ea,N(c1ccccc1)(c1ccccc1)c1ccc(n1CC)c1ncc(C(=O)O)cc1
55,2ed_13b_1ea,N(c1ccccc1)(c1ccccc1)c1cc2c(cc(s2)c2ccc(C=C(C#N)C(=O)O)cc2)s1
56,2ed_13b_2ea,N(c1ccccc1)(c1ccccc1)c1cc2c(cc(s2)c2ncc(C(=O)O)cc2)s1
57,2ed_13b_3ea,N(c1ccccc1)(c1ccccc1)c1cc2c(cc(s2)c2ncc(C(=O)O)nc2)s1
58,2ed_14b_1ea,N(c1ccccc1)(c1ccccc1)c1c2c(nn(CC)n2)c(cc1)c1ccc(C=C(C#N)C(=O)O)cc1
59,2ed_14b_2ea,N(c1ccccc1)(c1ccccc1)c1c2c(nn(CC)n2)c(cc1)c1ncc(C(=O)O)cc1
60,2ed_14b_3ea,N(c1ccccc1)(c1ccccc1)c1c2c(nn(CC)n2)c(cc1)c1ncc(C(=O)O)nc1
61,2ed_15b_1ea,N(c1ccccc1)(c1ccccc1)c1ccc(c2nonc12)c1ccc(C=C(C#N)C(=O)O)cc1
62,2ed_15b_2ea,N(c1ccccc1)(c1ccccc1)c1ccc(c2nonc12)c1ncc(C(=O)O)cc1
63,2ed_15b_3ea,N(c1ccccc1)(c1ccccc1)c1ccc(c2nonc12)c1ncc(C(=O)O)nc1
64,2ed_16b_1ea,N(c1ccccc1)(c1ccccc1)C1=[S][C@@H](c2c1nsn2)c1ccc(C=C(C#N)C(=O)O)cc1
65,2ed_16b_2ea,N(c1ccccc1)(c1ccccc1)C1=[S][C@H](c2c1nsn2)c1ncc(C(=O)O)cc1
66,2ed_16b_3ea,N(c1ccccc1)(c1ccccc1)C1=[S][C@@H](c2c1nsn2)c1ncc(C(=O)O)nc1
67,2ed_1b_1ea,N(c1ccccc1)(c1ccccc1)c1c2c(c(s1)c1ccc(C=C(C#N)C(=O)O)cc1)nccn2
68,2ed_1b_2ea,N(c1ccccc1)(c1ccccc1)c1c2c(c(s1)c1ncc(C(=O)O)cc1)nccn2
69,2ed_1b_3ea,N(c1ccccc1)(c1ccccc1)c1c2c(c(s1)c1ncc(C(=O)O)nc1)nccn2
70,2ed_2b_1ea,c1ccc(N(c2ccccc2)c2ccc(s2)c2ccc(s2)c2ccc(C=C(C#N)C(=O)O)cc2)cc1
71,2ed_2b_2ea,c1ccc(N(c2ccccc2)c2ccc(s2)c2ccc(s2)c2ccc(C(=O)O)cn2)cc1
72,2ed_2b_3ea,c1ccc(N(c2ccccc2)c2ccc(s2)c2ccc(s2)c2ncc(C(=O)O)nc2)cc1
73,2ed_3b_1ea,c1ccc(N(c2ccccc2)c2ccc(s2)c2ccc(c3ccc(s3)c3ccc(C=C(C#N)C(=O)O)cc3)s2)cc1
74,2ed_3b_2ea,c1ccc(N(c2ccccc2)c2ccc(s2)c2ccc(c3ccc(s3)c3ccc(C(=O)O)cn3)s2)cc1
75,2ed_3b_3ea,c1ccc(N(c2ccccc2)c2ccc(s2)c2ccc(c3ccc(s3)c3ncc(C(=O)O)nc3)s2)cc1
76,2ed_4b_1ea,c1ccc(N(c2ccccc2)c2ccc(c3c2nsn3)c2ccc(C=C(C#N)C(=O)O)cc2)cc1
77,2ed_4b_2ea,c1ccc(N(c2ccccc2)c2ccc(c3c2nsn3)c2ccc(C(=O)O)cn2)cc1
78,2ed_4b_3ea,c1ccc(N(c2ccccc2)c2ccc(c3c2nsn3)c2ncc(C(=O)O)nc2)cc1
79,2ed_5b_1ea,c1ccc(N(c2ccccc2)c2c3nn(C)nc3c(cc2)c2ccc(C=C(C#N)C(=O)O)cc2)cc1
80,2ed_5b_2ea,c1ccc(N(c2ccccc2)c2c3nn(C)nc3c(cc2)c2ccc(C(=O)O)cn2)cc1
81,2ed_5b_3ea,c1ccc(N(c2ccccc2)c2c3nn(C)nc3c(cc2)c2ncc(C(=O)O)nc2)cc1
82,2ed_6b_1ea,N(c1ccccc1)(c1ccccc1)c1sc2c3c(cc(s3)c3ccc(C=C(C#N)C(=O)O)cc3)n(c2c1)c1ccccc1
83,2ed_6b_2ea,N(c1ccccc1)(c1ccccc1)c1sc2c3c(cc(s3)c3ncc(C(=O)O)cc3)n(c2c1)c1ccccc1
84,2ed_6b_3ea,N(c1ccccc1)(c1ccccc1)c1sc2c3c(cc(s3)c3ncc(C(=O)O)nc3)n(c2c1)c1ccccc1
85,2ed_7b_1ea,N(c1ccccc1)(c1ccccc1)c1ccc(s1)c1ccc(C=C(C#N)C(=O)O)cc1
86,2ed_7b_2ea,N(c1ccccc1)(c1ccccc1)c1ccc(s1)c1ncc(C(=O)O)cc1
87,2ed_7b_3ea,N(c1ccccc1)(c1ccccc1)c1ccc(s1)c1ncc(C(=O)O)nc1
88,2ed_8b_1ea,N(c1ccccc1)(c1ccccc1)c1sc(c2cc(C(=O)OC)sc12)c1ccc(C=C(C#N)C(=O)O)cc1
89,2ed_8b_2ea,N(c1ccccc1)(c1ccccc1)c1sc(c2cc(C(=O)OC)sc12)c1ncc(C(=O)O)cc1
90,2ed_8b_3ea,N(c1ccccc1)(c1ccccc1)c1sc(c2cc(C(=O)OC)sc12)c1ncc(C(=O)O)nc1
91,2ed_9b_1ea,N(c1ccccc1)(c1ccccc1)c1c2c(cccc2)c(s1)c1ccc(C=C(C#N)C(=O)O)cc1
92,2ed_9b_2ea,N(c1ccccc1)(c1ccccc1)c1c2c(cccc2)c(s1)c1ncc(C(=O)O)cc1
93,3ed_10b_1ea,N(c1ccccc1)c1sc2c(n(CC)c3c2sc(c3)c2ccc(C=C(C#N)C(=O)O)cc2)c1
94,3ed_10b_3ea,N(c1ccccc1)c1sc2c(n(CC)c3c2sc(c3)c2ncc(C(=O)O)nc2)c1
95,3ed_11b_1ea,N(c1ccccc1)c1c2OCCOc2c(s1)c1ccc(C=C(C#N)C(=O)O)cc1
96,3ed_11b_2ea,N(c1ccccc1)c1c2OCCOc2c(s1)c1ncc(C(=O)O)cc1
97,3ed_11b_3ea,N(c1ccccc1)c1c2OCCOc2c(s1)c1ncc(C(=O)O)nc1
98,3ed_12b_1ea,N(c1ccccc1)c1ccc(n1CC)c1ccc(C=C(C#N)C(=O)O)cc1
99,3ed_12b_2ea,N(c1ccccc1)c1ccc(n1CC)c1ncc(C(=O)O)cc1
100,3ed_12b_3ea,N(c1ccccc1)c1ccc(n1CC)c1ncc(C(=O)O)nc1
101,3ed_13b_1ea,N(c1ccccc1)c1cc2c(cc(s2)c2ccc(C=C(C#N)C(=O)O)cc2)s1
102,3ed_13b_2ea,N(c1ccccc1)c1cc2c(cc(s2)c2ncc(C(=O)O)cc2)s1
103,3ed_13b_3ea,N(c1ccccc1)c1cc2c(cc(s2)c2ncc(C(=O)O)nc2)s1
104,3ed_14b_2ea,N(c1ccccc1)c1c2c(nn(CC)n2)c(cc1)c1ncc(C(=O)O)cc1
105,3ed_15b_1ea,N(c1ccccc1)c1ccc(c2nonc12)c1ccc(C=C(C#N)C(=O)O)cc1
106,3ed_15b_2ea,N(c1ccccc1)c1ccc(c2nonc12)c1ncc(C(=O)O)cc1
107,3ed_15b_3ea,N(c1ccccc1)c1ccc(c2nonc12)c1ncc(C(=O)O)nc1
108,3ed_16b_1ea,N(c1ccccc1)C1=[S][C@H](c2c1nsn2)c1ccc(C=C(C#N)C(=O)O)cc1
109,3ed_16b_2ea,N(c1ccccc1)C1=[S][C@@H](c2c1nsn2)c1ncc(C(=O)O)cc1
110,3ed_16b_3ea,N(c1ccccc1)C1=[S][C@H](c2c1nsn2)c1ncc(C(=O)O)nc1
111,3ed_1b_1ea,N(c1ccccc1)c1c2c(c(s1)c1ccc(C=C(C#N)C(=O)O)cc1)nccn2
112,3ed_1b_2ea,N(c1ccccc1)c1c2c(c(s1)c1ncc(C(=O)O)cc1)nccn2
113,3ed_1b_3ea,N(c1ccccc1)c1c2c(c(s1)c1ncc(C(=O)O)nc1)nccn2
114,3ed_2b_1ea,N(c1ccccc1)c1ccc(s1)c1ccc(s1)c1ccc(C=C(C#N)C(=O)O)cc1
115,3ed_2b_2ea,N(c1ccccc1)c1ccc(s1)c1ccc(s1)c1ccc(C(=O)O)cn1
116,3ed_2b_3ea,N(c1ccccc1)c1ccc(s1)c1ccc(s1)c1ncc(C(=O)O)nc1
117,3ed_3b_1ea,N(c1ccccc1)c1ccc(s1)c1ccc(c2ccc(s2)c2ccc(C=C(C#N)C(=O)O)cc2)s1
118,3ed_3b_2ea,N(c1ccccc1)c1ccc(s1)c1ccc(c2ccc(s2)c2ccc(C(=O)O)cn2)s1
119,3ed_3b_3ea,N(c1ccccc1)c1ccc(s1)c1ccc(c2ccc(s2)c2ncc(C(=O)O)nc2)s1
120,3ed_4b_1ea,N(c1ccccc1)c1ccc(c2c1nsn2)c1ccc(C=C(C#N)C(=O)O)cc1
121,3ed_4b_2ea,N(c1ccccc1)c1ccc(c2c1nsn2)c1ccc(C(=O)O)cn1
122,3ed_4b_3ea,N(c1ccccc1)c1ccc(c2c1nsn2)c1ncc(C(=O)O)nc1
123,3ed_5b_1ea,N(c1ccccc1)c1c2nn(C)nc2c(cc1)c1ccc(C=C(C#N)C(=O)O)cc1
124,3ed_5b_2ea,N(c1ccccc1)c1c2nn(C)nc2c(cc1)c1ccc(C(=O)O)cn1
125,3ed_5b_3ea,N(c1ccccc1)c1c2nn(C)nc2c(cc1)c1ncc(C(=O)O)nc1
126,3ed_6b_1ea,N(c1ccccc1)c1sc2c3c(cc(s3)c3ccc(C=C(C#N)C(=O)O)cc3)n(c2c1)c1ccccc1
127,3ed_6b_2ea,N(c1ccccc1)c1sc2c3c(cc(s3)c3ncc(C(=O)O)cc3)n(c2c1)c1ccccc1
128,3ed_6b_3ea,N(c1ccccc1)c1sc2c3c(cc(s3)c3ncc(C(=O)O)nc3)n(c2c1)c1ccccc1
129,3ed_7b_1ea,N(c1ccccc1)c1ccc(s1)c1ccc(C=C(C#N)C(=O)O)cc1
130,3ed_7b_2ea,N(c1ccccc1)c1ccc(s1)c1ncc(C(=O)O)cc1
131,3ed_7b_3ea,N(c1ccccc1)c1ccc(s1)c1ncc(C(=O)O)nc1
132,3ed_8b_1ea,N(c1ccccc1)c1sc(c2cc(C(=O)OC)sc12)c1ccc(C=C(C#N)C(=O)O)cc1
133,3ed_8b_2ea,N(c1ccccc1)c1sc(c2cc(C(=O)OC)sc12)c1ncc(C(=O)O)cc1
134,3ed_8b_3ea,N(c1ccccc1)c1sc(c2cc(C(=O)OC)sc12)c1ncc(C(=O)O)nc1
135,3ed_9b_1ea,N(c1ccccc1)c1c2c(cccc2)c(s1)c1ccc(C=C(C#N)C(=O)O)cc1
136,3ed_9b_2ea,N(c1ccccc1)c1c2c(cccc2)c(s1)c1ncc(C(=O)O)cc1
137,3ed_9b_3ea,N(c1ccccc1)c1c2c(cccc2)c(s1)c1ncc(C(=O)O)nc1
138,5ed_10b_1ea,COc1ccc(N(c2ccc(OC)cc2)c2ccc(cc2)c2sc3c(n(CC)c4c3sc(c4)c3ccc(C=C(C#N)C(=O)O)cc3)c2)cc1
139,5ed_10b_2ea,COc1ccc(N(c2ccc(OC)cc2)c2ccc(cc2)c2sc3c(n(CC)c4c3sc(c4)c3ncc(C(=O)O)cc3)c2)cc1
140,5ed_10b_3ea,COc1ccc(N(c2ccc(OC)cc2)c2ccc(cc2)c2sc3c(n(CC)c4c3sc(c4)c3ncc(C(=O)O)nc3)c2)cc1
141,5ed_11b_1ea,COc1ccc(N(c2ccc(OC)cc2)c2ccc(cc2)c2c3OCCOc3c(s2)c2ccc(C=C(C#N)C(=O)O)cc2)cc1
142,5ed_11b_2ea,COc1ccc(N(c2ccc(OC)cc2)c2ccc(cc2)c2c3OCCOc3c(s2)c2ncc(C(=O)O)cc2)cc1
143,5ed_11b_3ea,COc1ccc(N(c2ccc(OC)cc2)c2ccc(cc2)c2c3OCCOc3c(s2)c2ncc(C(=O)O)nc2)cc1
144,5ed_12b_1ea,COc1ccc(N(c2ccc(OC)cc2)c2ccc(cc2)c2ccc(n2CC)c2ccc(C=C(C#N)C(=O)O)cc2)cc1
145,5ed_12b_2ea,COc1ccc(N(c2ccc(OC)cc2)c2ccc(cc2)c2ccc(n2CC)c2ncc(C(=O)O)cc2)cc1
146,5ed_12b_3ea,COc1ccc(N(c2ccc(OC)cc2)c2ccc(cc2)c2ccc(n2CC)c2ncc(C(=O)O)nc2)cc1
