,Name,Absorption Score,LUMO Score,Charge Transfer Score,HOMO Energy,LUMO energy,Total Score
45,5ed_41b_11ea,83.29275000000001,58.9570814577536,15.049999999999999,0.44,-3.343007675282532,FAIL
46,20ed_44b_10ea,114.03399999999999,89.92540584319838,4.015,0.06,-3.647157116808977,FAIL
47,9ed_16b_5ea,69.65325000000001,7.210037927848573,19.9375,6.02,-3.026665894279947,96.80078792784859
48,2ed_28b_12ea,86.35024999999999,69.2881166532342,11.5525,3.55,-3.385845624793299,FAIL
49,7ed_36b_4ea,84.8115,65.44059485126117,8.0825,1.61,-3.6926312478280985,FAIL
50,9ed_41b_12ea,108.36000000000001,98.54909506640077,15.765,1.1,-3.6198067336597948,FAIL
51,11ed_29b_4ea,82.09174999999999,53.31559019785111,17.935000000000002,3.89,-3.3196115643958826,FAIL
52,14ed_41b_7ea,72.3615,20.682287131716237,22.3025,0.42,-3.15616831087788,FAIL
53,13ed_29b_2ea,64.68475000000001,12.712882284704627,10.05,1.92,-3.092240909300274,FAIL
54,20ed_30b_9ea,52.056250000000006,30.765410847737208,9.415,1.43,-3.2161414401929536,FAIL
55,1ed_29b_6ea,62.40899999999999,3.9476876778837537,7.975,1.41,-2.9643861061450627,FAIL
56,13ed_30b_12ea,60.54900000000001,70.97684636112255,21.05,2.89,-3.6834046125488564,FAIL
57,11ed_30b_11ea,56.68799999999998,93.14606310862631,19.4375,1.16,-3.5057918834234463,FAIL
58,2ed_29b_11ea,68.05950000000001,0.7089772410519842,6.405,1.58,-2.8134647147917455,FAIL
59,10ed_16b_5ea,53.99924999999999,0.39693714851349093,15.872500000000002,5.78,-2.768649629149713,70.2686871485135
60,1ed_41b_12ea,89.64824999999999,94.21110232566875,11.43,1.29,-3.6359533453984683,FAIL
61,9ed_29b_7ea,74.857,0.3055600723194485,10.465000000000002,1.08,-2.749207790525596,FAIL
62,13ed_41b_4ea,89.33025,99.25321309315225,13.5225,0.97,-3.569389762312508,FAIL
63,16ed_29b_7ea,67.2715,0.07734233762508876,6.19,0.99,-2.6536462108477314,FAIL
64,11ed_41b_2ea,83.44375,75.2682293706034,16.29,0.62,-3.411548394499759,FAIL
65,5ed_16b_12ea,75.13775000000001,78.4276151653404,20.3525,4.67,-3.425717870107167,173.9178651653404
66,19ed_44b_5ea,110.03649999999998,57.41809943486735,1.28,0.48,-3.705812155369873,FAIL
67,21ed_41b_10ea,65.06899999999999,27.568871694595522,2.3575,0.12,-3.1986767377001026,FAIL
68,7ed_29b_6ea,68.58824999999999,0.38662204728975424,6.045,1.63,-2.7666724930184468,FAIL
69,2ed_39b_10ea,53.88375,77.19263982617919,10.485000000000001,0.09,-3.420115984401912,FAIL
70,6ed_33b_13ea,90.60749999999999,67.23370607341934,31.655,6.3,-3.689665543631199,189.49620607341933
71,1ed_10b_13ea,51.266999999999996,91.13518042029482,46.15,6.78,-3.4922814531931277,188.55218042029483
72,20ed_38b_6ea,117.55975000000001,98.85780491284521,6.9775,1.0,-3.618159120217073,FAIL
73,20ed_30b_4ea,55.043000000000006,91.49431662424384,12.7875,2.68,-3.4945881120129383,FAIL
74,9ed_16b_6ea,55.86224999999999,6.089652658717028,19.43,3.44,-3.008542146410007,FAIL
75,3ed_44b_3ea,116.57100000000003,47.007680429952266,3.315,0.49,-3.7232768578627238,FAIL
76,17ed_41b_1ea,72.2245,95.16334020737061,8.0575,0.84,-3.521279449785031,FAIL
77,5ed_36b_1ea,64.94075000000001,99.80094830549501,22.220000000000002,2.01,-3.5842182832970035,FAIL
78,16ed_38b_3ea,123.4425,47.39012099016425,7.032500000000001,1.28,-3.7226178124856353,FAIL
79,13ed_29b_11ea,67.79624999999999,7.231859306405103,9.9875,1.58,-3.026995416968491,FAIL
80,16ed_30b_11ea,52.50999999999999,53.70996855586773,11.1425,0.98,-3.3212591778386047,FAIL
81,19ed_41b_10ea,69.65325000000001,73.3817720194452,3.6575,0.12,-3.4033103272861505,FAIL
82,3ed_41b_12ea,100.29175000000001,90.29071402035218,5.34,1.06,-3.4870090901764175,FAIL
83,7ed_29b_5ea,73.60225,0.4910117773743131,6.64,2.42,-2.784796240888386,FAIL
84,2ed_38b_7ea,123.64974999999998,76.08738273368373,5.8225,0.67,-3.4151731440737474,FAIL
85,10ed_36b_6ea,57.16274999999998,55.92810410069654,16.19,1.63,-3.3304858131178467,FAIL
86,5ed_44b_7ea,113.07100000000003,98.73844402539834,12.8575,0.12,-3.5601631270332654,FAIL
87,14ed_29b_2ea,56.68799999999998,5.471549846280182,23.1575,2.06,-2.997338374999498,FAIL
